inputName,address,city,state,zipCode,cardType,creditCardNumber,creditCardMonth,creditCardYear,nameOnCard,fromPort,toPort
Felipe Ramírez,Calle 1343 #446,Antofagasta,IX,62853,dinersclub,38254242865385,09,2025,Felipe Ramírez,Portland,London
Sofía Rojas,Calle 7829 #428,Arica,V,85419,visa,4303371613285942,07,2025,Sofía Rojas,Portland,Dublin
María Rojas,Calle 2231 #785,Antofagasta,II,29323,dinersclub,38412503030017,06,2026,María Rojas,Philadelphia,Cairo
Camila Díaz,Calle 5054 #38,Talca,RM,87804,visa,4544927000203185,11,2032,Camila Díaz,Portland,Buenos Aires
Ricardo Contreras,Calle 8163 #744,Rancagua,VI,94505,visa,4028758823081582,01,2025,Ricardo Contreras,Portland,Cairo
Juan Núñez,Calle 5067 #958,Rancagua,VII,36252,visa,4510022926217066,09,2025,Juan Núñez,Boston,London
Diego Fuentes,Calle 1333 #884,Talca,VIII,88057,visa,4122964510535639,09,2028,Diego Fuentes,Portland,New York
Andrés Núñez,Calle 902 #231,Santiago,II,68280,amex,342999997030781,01,2025,Andrés Núñez,Paris,Rome
Pedro Ramírez,Calle 1715 #605,Valparaíso,VII,66456,dinersclub,38265748679839,08,2028,Pedro Ramírez,Portland,Cairo
Luis González,Calle 9062 #983,Santiago,XV,74477,amex,340087122937964,04,2030,Luis González,São Paolo,New York
Fernanda Fuentes,Calle 1888 #776,Talca,VIII,73520,visa,4393703698167454,01,2031,Fernanda Fuentes,São Paolo,Dublin
Paula Ramírez,Calle 8728 #491,Antofagasta,VIII,60325,visa,4780757873568067,12,2031,Paula Ramírez,Paris,New York
Camila Vargas,Calle 2351 #197,Arica,RM,70627,amex,371616208138406,08,2029,Camila Vargas,Philadelphia,Buenos Aires
María Pérez,Calle 2135 #859,Valparaíso,V,31782,amex,377710006376204,03,2028,María Pérez,Portland,Rome
Ricardo Martínez,Calle 9973 #155,La Serena,VIII,60103,visa,4476931994319465,04,2032,Ricardo Martínez,São Paolo,Berlin
